Measure Names,UF,Year of Ano (data),Measure Values
Números absolutos,BA,2015.00,6039.00
Números absolutos,AP,2015.00,273.00
Números absolutos,AM,2015.00,1415.00
Números absolutos,AL,2015.00,1716.00
Números absolutos,AC,2015.00,203.00
Números absolutos,Brasil,2015.00,55574.00
Taxa / 100 mil habitantes,AL,2016.00,52.58
Taxa / 100 mil habitantes,CE,2016.00,38.57
Taxa / 100 mil habitantes,ES,2016.00,31.51
Taxa / 100 mil habitantes,GO,2016.00,41.67
Taxa / 100 mil habitantes,MA,2016.00,31.85
Taxa / 100 mil habitantes,MT,2016.00,35.46
Taxa / 100 mil habitantes,PA,2016.00,47.46
Taxa / 100 mil habitantes,PB,2016.00,33.10
Taxa / 100 mil habitantes,PE,2016.00,47.61
Taxa / 100 mil habitantes,PI,2016.00,21.89
Taxa / 100 mil habitantes,RJ,2016.00,32.08
Taxa / 100 mil habitantes,RN,2016.00,55.11
Taxa / 100 mil habitantes,SC,2016.00,14.12
Taxa / 100 mil habitantes,AC,2016.00,45.06
Taxa / 100 mil habitantes,AP,2016.00,43.46
Taxa / 100 mil habitantes,AM,2016.00,28.79
Taxa / 100 mil habitantes,BA,2016.00,43.43
Taxa / 100 mil habitantes,DF,2016.00,21.90
Taxa / 100 mil habitantes,MG,2016.00,20.81
Taxa / 100 mil habitantes,PR,2016.00,23.79
Taxa / 100 mil habitantes,RS,2016.00,27.03
Taxa / 100 mil habitantes,SP,2016.00,9.09
Taxa / 100 mil habitantes,MS,2016.00,23.19
Taxa / 100 mil habitantes,RO,2016.00,32.79
Taxa / 100 mil habitantes,SE,2016.00,59.85
Taxa / 100 mil habitantes,RR,2016.00,40.25
Taxa / 100 mil habitantes,TO,2016.00,29.10
Números absolutos,AL,2016.00,1766.00
Números absolutos,CE,2016.00,3457.00
Números absolutos,ES,2016.00,1252.00
Números absolutos,GO,2016.00,2790.00
Números absolutos,MA,2016.00,2215.00
Números absolutos,MT,2016.00,1172.00
Números absolutos,PA,2016.00,3926.00
Números absolutos,PB,2016.00,1324.00
Números absolutos,PE,2016.00,4480.00
Números absolutos,PI,2016.00,703.00
Números absolutos,RJ,2016.00,5337.00
Números absolutos,RN,2016.00,1915.00
Números absolutos,SC,2016.00,976.00
Números absolutos,AC,2016.00,368.00
Números absolutos,AP,2016.00,340.00
Números absolutos,AM,2016.00,1152.00
Números absolutos,BA,2016.00,6635.00
Números absolutos,DF,2016.00,652.00
Números absolutos,MG,2016.00,4370.00
Números absolutos,PR,2016.00,2675.00
Números absolutos,RS,2016.00,3051.00
Números absolutos,SP,2016.00,4069.00
Números absolutos,MS,2016.00,622.00
Números absolutos,RO,2016.00,586.00
Números absolutos,SE,2016.00,1356.00
Números absolutos,RR,2016.00,207.00
Números absolutos,TO,2016.00,446.00
Taxa / 100 mil habitantes,AL,2017.00,52.73
Taxa / 100 mil habitantes,CE,2017.00,57.33
Taxa / 100 mil habitantes,ES,2017.00,36.35
Taxa / 100 mil habitantes,GO,2017.00,35.40
Taxa / 100 mil habitantes,MA,2017.00,27.78
Taxa / 100 mil habitantes,MT,2017.00,31.48
Taxa / 100 mil habitantes,PA,2017.00,48.73
Taxa / 100 mil habitantes,PB,2017.00,31.95
Taxa / 100 mil habitantes,PE,2017.00,57.28
Taxa / 100 mil habitantes,PI,2017.00,20.22
Taxa / 100 mil habitantes,RJ,2017.00,33.63
Taxa / 100 mil habitantes,RN,2017.00,64.07
Taxa / 100 mil habitantes,SC,2017.00,15.44
